,,ASIN,,,,,,,
26-Mar-2024,https://www.amazon.ca/dp/B00076XSF6,B00076XSF6,7,"C$90,47","$34,59","CA$16,70","31,85%",Onaylandı,
26-Mar-2024,https://www.amazon.ca/dp/B000215LSI,B000215LSI,15,"C$91,01","$36,41","CA$13,82","25,17%",Onaylandı,
26-Mar-2024,https://www.amazon.ca/dp/B018YGBYDS,B018YGBYDS,20,"C$69,71","$28,49","CA$7,08","16,13%",Onaylandı,
27-Mar-2024,https://www.amazon.ca/dp/B076VQB4KL,B076VQB4KL,14,"C$111,49","$45,98","CA$20,94","30,80%",Hazmat,
27-Mar-2024,https://www.amazon.ca/dp/B0C2DCCS3R,B0C2DCCS3R,373,"C$88,95","$32,99","CA$14,45","28,75%",Onaylandı,
27-Mar-2024,https://www.amazon.ca/dp/B07K2H8R7M,B07K2H8R7M,23,"C$61,96","$25,99","CA$6,08","14,95%",Onaylandı,
27-Mar-2024,https://www.amazon.ca/dp/B0048J720U,B0048J720U,28,"C$75,90","$31,90","CA$7,72","15,83%",Onaylandı,
27-Mar-2024,https://www.amazon.ca/dp/B07S13RDT5,B07S13RDT5,16,"C$105,48","$46,99","CA$14,76","21,30%",Onaylandı,
27-Mar-2024,https://www.amazon.ca/dp/2914849648,2914849648,9,"C$122,38","$51,99","CA$16,70","21,93%",Onaylandı,
27-Mar-2024,https://www.amazon.ca/dp/B07W6WLZKD,B07W6WLZKD,19,"C$84,97","$36,99","CA$8,44","15,15%",Onaylandı,
27-Mar-2024,https://www.amazon.ca/dp/B085FQVCGS,B085FQVCGS,11,"C$67,82","$27,99","CA$6,46","14,87%",Takip Edilmeli,fiyat düşmüş
27-Mar-2024,https://www.amazon.ca/dp/B07VQLYGB9,B07VQLYGB9,34,"C$165,99","$69,99","CA$26,51","26,37%",Onaylanmadı,büyük
27-Mar-2024,https://www.amazon.ca/dp/B06X19Z6F3,B06X19Z6F3,20,"C$223,14","$89,85","CA$56,24","44,10%",Onaylandı,
27-Mar-2024,https://www.amazon.ca/dp/B09YLLV7NF,B09YLLV7NF,14,"C$128,76","$53,99","CA$23,54","29,88%",Onaylandı,
27-Mar-2024,https://www.amazon.ca/dp/B099TPQYDC,B099TPQYDC,19,"91,92","$38,97","CA$11,93","20,43%",Onaylandı,
27-Mar-2024,https://www.amazon.ca/dp/B004Y6MIXS,B004Y6MIXS,16,"C$82,52","$34,69","CA$11,42","21,72%",Onaylandı,
27-Mar-2024,https://www.amazon.ca/dp/B07KV6XNHN,B07KV6XNHN,13,"C$74,50","$32,00","CA$7,63","15,60%",Onaylandı,
27-Mar-2024,https://www.amazon.ca/dp/B0BFFY1ZGF,B0BFFY1ZGF,22,"C$78,37","$33,99","CA$8,33","16,14%",Onaylandı,